FAZENDA;TALHÃO;DATA;SAFRA;BEM;HECTARES
ARGEMIRA;STI 02;08/10/2021;21/22;TR-3474;14,56
ARGEMIRA;STI 02;08/10/2021;21/22;TR-0311;19,85
ARGEMIRA;STI 02;08/10/2021;21/22;TR-1740;19
ARGEMIRA;STI 02;09/10/2021;21/22;TR-1740;55,49
ARGEMIRA;STI 02;09/10/2021;21/22;TR-2333;48,37
ARGEMIRA;STI 02;09/10/2021;21/22;TR-0311;51,16
ARGEMIRA;STI 02;09/10/2021;21/22;TR-3474;55,44
ARGEMIRA;STI 02;09/10/2021;21/22;TR-7858;34,65
ARGEMIRA;STI 02;09/10/2021;21/22;TR-1044;15
SANTA CARMEM;STA 07;10/10/2021;21/22;TR-0121;26,37
SANTA CARMEM;STA 07;10/10/2021;21/22;TR-0460;12,24
SANTA CARMEM;STA 07;10/10/2021;21/22;TR-0642;16,95
SANTA CARMEM;STA 07;11/10/2021;21/22;TR-0121;17
SANTA CARMEM;STA 07;11/10/2021;21/22;TR-0460;35
SANTA CARMEM;STA 07;11/10/2021;21/22;TR-0642;29
SANTA CARMEM;STA 07;12/10/2021;21/22;TR-0121;25
SANTA CARMEM;STA 07;12/10/2021;21/22;TR-0460;82,64
SANTA CARMEM;STA 07;12/10/2021;21/22;TR-0642;37
SANTA CARMEM;STA 08;12/10/2021;21/22;TR-0121;14
ARGEMIRA;STI 02;12/10/2021;21/22;TR-7858;41
ARGEMIRA;ARG 08;12/10/2021;21/22;TR-1740;19,76
ARGEMIRA;ARG 08;12/10/2021;21/22;TR-2333;18,83
ARGEMIRA;ARG 08;12/10/2021;21/22;tr-0311;19,45
ARGEMIRA;ARG 08;12/10/2021;21/22;TR-3474;25,07
ARGEMIRA;ARG 08;12/10/2021;21/22;TR-1044;18,79
ARGEMIRA;STI 02;13/10/2021;21/22;TR-7858;56
ARGEMIRA;STI 01;13/10/2021;21/22;TR-1740;30,96
ARGEMIRA;STI 01;13/10/2021;21/22;TR-0311;33,65
ARGEMIRA;STI 01;13/10/2021;21/22;TR-2333;36,45
ARGEMIRA;STI 01;13/10/2021;21/22;TR-3474;39,67
ARGEMIRA;STI 01;13/10/2021;21/22;TR-1044;57
SANTA CARMEM;STA 08;13/10/2021;21/22;TR-0121;64
SANTA CARMEM;STA 08;13/10/2021;21/22;TR-0460;96
SANTA CARMEM;STA 08;13/10/2021;21/22;TR-0642;70
ARGEMIRA;STI 01;14/10/2021;21/22;TR-1740;65,82
ARGEMIRA;STI 01;14/10/2021;21/22;TR-2333;6,21
ARGEMIRA;STI 01;14/10/2021;21/22;TR-0311;51,51
ARGEMIRA;STI 01;14/10/2021;21/22;TR-3474;51,53
