Data,Hora,Grupo de Operação,Tempo (h)
"2020-10-16 00:00:00,06:00,AUXILIAR,""0,3"""
"2020-10-16 00:00:00,07:00,AUXILIAR,""0,5"""
"2020-10-16 00:00:00,11:00,AUXILIAR,""0,2"""
"2020-10-16 00:00:00,13:00,AUXILIAR,""0,6"""
"2020-10-16 00:00:00,17:00,AUXILIAR,""0,2"""
"2020-10-16 00:00:00,18:00,AUXILIAR,""0,0"""
"2020-10-17 00:00:00,08:00,AUXILIAR,""0,3"""
"2020-10-17 00:00:00,09:00,AUXILIAR,""0,2"""
"2020-10-17 00:00:00,10:00,AUXILIAR,""0,0"""
"2020-10-17 00:00:00,11:00,AUXILIAR,""0,7"""
"2020-10-17 00:00:00,12:00,AUXILIAR,""0,0"""
"2020-10-17 00:00:00,14:00,AUXILIAR,""0,9"""
"2020-10-17 00:00:00,15:00,AUXILIAR,""0,3"""
"2020-10-17 00:00:00,18:00,AUXILIAR,""0,2"""
"2020-10-17 00:00:00,19:00,AUXILIAR,""0,5"""
"2020-10-17 00:00:00,20:00,AUXILIAR,""0,4"""
"2020-10-18 00:00:00,08:00,AUXILIAR,""0,3"""
"2020-10-22 00:00:00,13:00,AUXILIAR,""0,2"""
"2020-10-22 00:00:00,14:00,AUXILIAR,""0,3"""
"2020-10-22 00:00:00,17:00,AUXILIAR,""0,0"""
"2020-10-22 00:00:00,18:00,AUXILIAR,""0,2"""
"2020-10-22 00:00:00,19:00,AUXILIAR,""0,3"""
"2020-10-22 00:00:00,21:00,AUXILIAR,""0,1"""
"2020-10-23 00:00:00,10:00,AUXILIAR,""0,5"""
"2020-10-23 00:00:00,13:00,AUXILIAR,""0,4"""
"2020-10-23 00:00:00,14:00,AUXILIAR,""0,0"""
"2020-10-24 00:00:00,07:00,AUXILIAR,""0,2"""
"2020-10-24 00:00:00,08:00,AUXILIAR,""0,5"""
"2020-10-24 00:00:00,10:00,AUXILIAR,""0,3"""
"2020-10-24 00:00:00,13:00,AUXILIAR,""0,2"""
"2020-10-25 00:00:00,08:00,AUXILIAR,""0,5"""
"2020-10-25 00:00:00,10:00,AUXILIAR,""0,5"""
"2020-10-25 00:00:00,11:00,AUXILIAR,""0,2"""
"2020-10-25 00:00:00,12:00,AUXILIAR,""0,2"""
"2020-10-25 00:00:00,15:00,AUXILIAR,""0,3"""
"2020-10-25 00:00:00,16:00,AUXILIAR,""0,1"""
"2020-10-25 00:00:00,17:00,AUXILIAR,""0,2"""
"2020-10-25 00:00:00,19:00,AUXILIAR,""0,6"""
"2020-10-26 00:00:00,09:00,AUXILIAR,""0,3"""
"2020-10-26 00:00:00,10:00,AUXILIAR,""0,1"""
"2020-10-26 00:00:00,12:00,AUXILIAR,""0,1"""
"2020-10-26 00:00:00,14:00,AUXILIAR,""0,1"""
"2020-10-26 00:00:00,15:00,AUXILIAR,""0,4"""
"2020-10-27 00:00:00,12:00,AUXILIAR,""0,0"""
"2020-10-27 00:00:00,14:00,AUXILIAR,""0,2"""
"2020-10-27 00:00:00,15:00,AUXILIAR,""0,3"""
"2020-10-27 00:00:00,16:00,AUXILIAR,""0,1"""
"2020-10-27 00:00:00,18:00,AUXILIAR,""0,2"""
