cd_talhao;dt_hr_local_inicial;cd_equipamento;vl_velocidade;vl_rpm;vl_temperatura_motor;vl_consumo_instantaneo
401;08/11/2021 00:00;121,00;8.77;1351,00;86,00;11.31
401;09/11/2021 00:00;121,00;5.25;2106,00;87,00;44.11
401;09/11/2021 00:00;121,00;5.3;2119,00;87,00;44.22
401;09/11/2021 00:00;121,00;4.87;2046,00;87,00;45.14
401;09/11/2021 00:00;121,00;4.47;1592,00;87,00;36.31
401;09/11/2021 00:00;121,00;5.39;1874,00;87,00;25.85
401;09/11/2021 00:00;121,00;5.6;1889,00;87,00;27.21
401;09/11/2021 00:00;121,00;6.1;2076,00;87,00;30.28
401;09/11/2021 00:00;121,00;6.68;2209,00;87,00;32.48
401;09/11/2021 00:00;121,00;6.89;2218,00;87,00;31.63
401;09/11/2021 00:00;121,00;6.9;2208,00;87,00;32.76
401;09/11/2021 00:00;121,00;6.89;2202,00;87,00;32.52
401;09/11/2021 00:00;121,00;6.91;2210,00;87,00;31.66
401;09/11/2021 00:00;121,00;6.91;2226,00;87,00;31.07
401;09/11/2021 00:00;121,00;6.33;1999,00;86,00;32.46
401;09/11/2021 00:00;121,00;4.95;1951,00;86,00;40.8
401;09/11/2021 00:00;121,00;3.53;1604,00;87,00;32.6
401;09/11/2021 00:00;121,00;3.8;1570,00;86,00;32.2
401;09/11/2021 00:00;121,00;4.06;1601,00;85,00;35.87
401;09/11/2021 00:00;121,00;3.96;1533,00;85,00;34.63
401;09/11/2021 00:00;121,00;3.23;1326,00;84,00;38.02
401;09/11/2021 00:00;121,00;1.92;1437,00;84,00;22.1
401;09/11/2021 00:00;121,00;2.58;1276,00;86,00;8.31
401;09/11/2021 00:00;121,00;2.69;1169,00;86,00;24.05
401;09/11/2021 00:00;121,00;4.14;1137,00;86,00;8.02
401;09/11/2021 00:00;121,00;4.29;1498,00;87,00;18.33
401;09/11/2021 00:00;121,00;4,00;1143,00;87,00;11.15
401;09/11/2021 00:00;121,00;3.9;1118,00;86,00;12.63
401;09/11/2021 00:00;121,00;4.4;1191,00;86,00;15.36
401;09/11/2021 00:00;121,00;3.6;1310,00;85,00;10.63
401;09/11/2021 00:00;121,00;5.36;1396,00;84,00;17.04
401;09/11/2021 00:00;121,00;4.74;1279,00;84,00;15.63
401;09/11/2021 00:00;121,00;4.47;1203,00;83,00;10.07
401;09/11/2021 00:00;121,00;4.89;1380,00;83,00;13.13
401;09/11/2021 00:00;121,00;4.79;1196,00;83,00;11.53
401;09/11/2021 00:00;121,00;3.44;936,00;83,00;11.16
401;09/11/2021 00:00;121,00;3.64;918,00;84,00;3.86
401;09/11/2021 00:00;121,00;4.79;891,00;84,00;3.67
401;09/11/2021 00:00;121,00;7.14;1176,00;83,00;9.35
401;09/11/2021 00:00;121,00;6.1;1030,00;83,00;9.45
401;09/11/2021 00:00;121,00;6.82;1383,00;82,00;5.21
401;09/11/2021 00:00;121,00;9.58;1726,00;82,00;7.6
401;09/11/2021 00:00;121,00;10.49;1799,00;79,00;16.13
401;09/11/2021 00:00;121,00;10.55;1750,00;79,00;18.53
401;09/11/2021 00:00;121,00;10.8;1822,00;78,00;13.21
401;09/11/2021 00:00;121,00;10.64;1661,00;78,00;17.64
401;09/11/2021 00:00;121,00;9.92;1637,00;77,00;18.29
401;09/11/2021 00:00;121,00;9.64;1632,00;77,00;15.02
401;09/11/2021 00:00;121,00;10.8;1898,00;75,00;14.61
401;09/11/2021 00:00;121,00;11.2;1897,00;74,00;21.27
401;09/11/2021 00:00;121,00;11.19;1866,00;74,00;17.5
401;09/11/2021 00:00;121,00;10.85;1842,00;72,00;18.1
401;09/11/2021 00:00;121,00;11.07;1834,00;72,00;20.52
401;09/11/2021 00:00;121,00;10.98;1832,00;71,00;20.03
401;09/11/2021 00:00;121,00;10.62;1751,00;71,00;19.42
401;09/11/2021 00:00;121,00;10.58;1734,00;70,00;18.38
401;09/11/2021 00:00;121,00;9.85;1641,00;70,00;15.51
401;09/11/2021 00:00;121,00;9.65;1634,00;69,00;14.95
401;09/11/2021 00:00;121,00;9,00;1440,00;68,00;15.85
401;09/11/2021 00:00;121,00;8.78;1486,00;67,00;14.28
401;09/11/2021 00:00;121,00;10.57;1808,00;66,00;10.71
401;09/11/2021 00:00;121,00;10.5;1790,00;64,00;20.92
401;09/11/2021 00:00;121,00;10.45;1700,00;63,00;21.13
401;09/11/2021 00:00;121,00;10.39;2070,00;62,00;22.65
401;09/11/2021 00:00;121,00;10.13;2055,00;60,00;24.11
401;09/11/2021 00:00;121,00;9.88;1919,00;60,00;22.78
401;09/11/2021 00:00;121,00;9.53;1820,00;59,00;20.18
401;09/11/2021 00:00;121,00;9.46;1994,00;55,00;18.18
401;09/11/2021 00:00;121,00;9.5;1837,00;54,00;18.44
401;09/11/2021 00:00;121,00;8.77;1814,00;53,00;16.29
401;09/11/2021 00:00;121,00;9.03;1750,00;51,00;17.78
401;09/11/2021 00:00;121,00;8.5;1702,00;50,00;11.53
401;09/11/2021 00:00;121,00;8.65;1963,00;49,00;26.23
401;09/11/2021 00:00;121,00;7.8;2031,00;48,00;21.16
401;09/11/2021 00:00;121,00;8.04;2080,00;47,00;21.51
401;09/11/2021 00:00;121,00;7.82;2058,00;46,00;18.4
401;09/11/2021 00:00;121,00;7.74;2053,00;45,00;17.93
401;09/11/2021 00:00;121,00;7.61;2044,00;44,00;17.04
401;09/11/2021 00:00;121,00;7.82;2113,00;41,00;18.07
401;09/11/2021 00:00;121,00;8,00;2140,00;40,00;19.51
